Pathways,1D,2D,3D,4D,5D,6D,7D,8D,9D,10D
Alkaloid metabolism,-1,0,-3,-4,-21,-8,0,5,0,0
Amino acid metabolism,-17,-4,-3,1,-70,9,-38,4,-8,-39
Carbohydrate metabolism,2,-1,1,2,-43,4,-14,-1,-5,-52
Carbon metabolism,-1,2,-1,-1,-7,2,-8,1,-2,-13
Degradation of aromatic compounds,-2,2,-1,-1,-13,-2,-4,1,0,-9
Energy metabolism,0,-2,2,-2,-3,0,0,0,0,2
Genetic Information Processing,0,0,1,0,-3,0,0,0,0,0
Glycan biosynthesis and metabolism,1,0,2,1,-6,-1,0,2,-1,-5
Lipid metabolism,1,-1,-6,-1,-30,4,0,-5,1,-7
Membrane transport,1,-1,1,-2,-10,-1,-1,1,0,2
Metabolism of cofactors and vitamins,5,0,-5,-2,-17,4,-8,-3,-7,-5
Nucleotide metabolism,0,0,-4,-1,-10,-1,-8,1,0,-8
Phenylpropanoid metabolism,2,-2,-36,-13,-32,-3,-39,4,0,-16
Signal transduction,0,0,-1,0,-4,-1,0,0,0,-2
Terpenoid metabolism,2,0,-5,4,-24,2,-5,2,-3,-8
